indicatorName,data,cenarioA,cenarioB
Sudeste e Centro-Oeste,07/30/2021,26.2,26.2
Sudeste e Centro-Oeste,08/27/2021,22.8,22.8
Sudeste e Centro-Oeste,09/30/2021,15,18
Sudeste e Centro-Oeste,10/31/2021,10.8,13.8
Sudeste e Centro-Oeste,11/30/2021,8,11.3
Sul,07/30/2021,48.5,48.5
Sul,08/27/2021,27.6,27.6
Sul,09/30/2021,13,11
Sul,10/31/2021,8,11.5
Sul,11/30/2021,6.7,10.1
Nordeste,07/30/2021,54.9,54.9
Nordeste,08/27/2021,50,50
Nordeste,09/30/2021,37.77,40
Nordeste,10/31/2021,27.78,30
Nordeste,11/30/2021,20.9,24.1